MEDIA OUTLET,MEDIA TYPE, ESTIMATED AUDIENCE SIZE ,MALE,FEMALE,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,UPPER CLASS,MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE
"Abuja,Aso Radio 93.5 FM, Abuja",FRCN 4-5pm,572740,53%,47%,5%,31%,48%,15%,1%,10%,57%,27%,6%
"Abuja,Radio Nigeria 1 (SW), Abuja",FRCN 4-5pm,220043,49%,51%,1%,29%,53%,16%,1%,7%,55%,29%,9%
"Abuja,Radio Nigeria 2 (MW), Abuja",FRCN 4-5pm,116585,55%,45%,6%,33%,48%,13%,0%,9%,52%,29%,10%
"Abuja,Kapital 92.9 FM, Abuja",FRCN 4-5pm,769691,53%,47%,5%,33%,47%,16%,0%,9%,56%,28%,7%
"Kwara,Midland 99.0 FM, Ilorin",FRCN 4-5pm,1298409,53%,47%,4%,27%,47%,18%,4%,8%,40%,43%,9%
"Niger,Prestige 91.7 FM, Minna",FRCN 4-5pm,1321439,49%,51%,4%,23%,52%,20%,2%,13%,52%,28%,7%
"Plateau,Highland 101.5 FM, Jos",FRCN 4-5pm,918753,49%,51%,6%,48%,39%,7%,0%,15%,37%,39%,9%
"Bauchi,Globe FM 98.5 MHz",FRCN 4-5pm,808838,62%,38%,7%,37%,42%,12%,2%,7%,53%,33%,7%
"Borno,Peace 102.5 FM, Maiduguri (FRCN)",FRCN 4-5pm,2179778,56%,44%,5%,32%,48%,14%,1%,9%,45%,36%,10%
"Gombe,Vision 92.7 FM, Gombe",FRCN 4-5pm,20081,25%,75%,15%,60%,13%,13%,0%,0%,75%,25%,0%
"Ekiti,Progress 100.5 FM, Ado-Ekiti",FRCN 4-5pm,1213280,49%,51%,5%,34%,43%,16%,2%,9%,40%,42%,9%
"Ondo,Positive 102.5 FM, Akure",FRCN 4-5pm,239054,54%,46%,7%,43%,32%,15%,3%,4%,35%,49%,12%
"Oyo,Premier 93.5 FM, Ibadan",FRCN 4-5pm,1075205,46%,54%,7%,30%,38%,23%,2%,6%,41%,47%,6%
"Oyo,Diamond 101.1 FM, Ibadan",FRCN 4-5pm,695043,49%,51%,7%,34%,37%,20%,2%,8%,34%,49%,9%
"Oyo,Amuludun 99.1 FM, Ibadan",FRCN 4-5pm,2050570,46%,54%,8%,31%,38%,22%,2%,8%,37%,47%,8%
"Ogun,Paramount 94.5 FM, Abeokuta",FRCN 4-5pm,147324,61%,39%,4%,35%,41%,21%,0%,10%,70%,20%,0%
"Lagos,Choice 103.5 FM, Lagos",FRCN 4-5pm,553362,46%,54%,6%,34%,44%,16%,1%,4%,56%,36%,4%
"Lagos,Metro 97.7 FM, Lagos",FRCN 4-5pm,578515,40%,60%,7%,44%,36%,13%,1%,9%,45%,39%,7%
"Lagos,Bond 92.9 FM, Lagos",FRCN 4-5pm,2784778,44%,56%,5%,36%,38%,20%,1%,5%,51%,39%,5%
"Edo,Bronze 101.5 FM, Aduwawa, Benin",FRCN 4-5pm,1520471,52%,48%,10%,31%,40%,16%,3%,6%,53%,34%,7%
"Akwa Ibom,Atlantic 104.5 FM Uyo",FRCN 4-5pm,958266,51%,49%,7%,31%,41%,16%,5%,10%,37%,39%,14%
"Rivers,Treasure 98.5 FM, P/H",FRCN 4-5pm,1031073,51%,49%,8%,36%,31%,21%,4%,9%,38%,46%,7%
"Abia,Pacesetter 103.5 FM, Umuahia",FRCN 4-5pm,155579,49%,51%,8%,34%,42%,16%,0%,8%,36%,47%,9%
"Anambra,Purity 102.5 FM, Awka",FRCN 4-5pm,817954,44%,56%,4%,38%,43%,12%,3%,11%,40%,40%,9%
"Enugu,Radio Nigeria (SW), Enugu",FRCN 4-5pm,775393,45%,55%,4%,30%,55%,12%,0%,4%,60%,32%,4%
"Enugu,Coal City 92.9 FM, Enugu",FRCN 4-5pm,807268,48%,52%,6%,34%,44%,14%,2%,6%,44%,39%,11%
"Ebonyi,Unity 101.5 FM, Abakiliki",FRCN 4-5pm,257799,46%,54%,10%,35%,38%,14%,4%,8%,35%,39%,18%
"Imo,Heartland 100.5 FM, Owerri",FRCN 4-5pm,101931,46%,54%,15%,35%,34%,14%,2%,11%,41%,37%,11%
16h00-16h15,FRCN 4-5pm,43946088,52%,48%,6%,33%,42%,17%,2%,8%,48%,37%,7%
16h15-16h30,FRCN 4-5pm,43885165,52%,48%,6%,33%,42%,17%,2%,8%,48%,37%,7%
16h30-16h45,FRCN 4-5pm,41597184,53%,47%,6%,33%,42%,17%,2%,8%,48%,37%,7%
16h45-17h00,FRCN 4-5pm,40679174,52%,48%,6%,33%,42%,17%,2%,8%,49%,36%,7%
"Kaduna,Supreme 96.1 FM, Kaduna",FRCN 7-8am,1042825,45%,55%,10%,42%,42%,5%,1%,8%,44%,40%,8%
"Kaduna,Radio Nigeria-1 (SW)",FRCN 7-8am,8179,0%,100%,0%,0%,75%,25%,0%,0%,50%,0%,50%
"Kaduna,Radio Nigeria-2 (MW)",FRCN 7-8am,22546,18%,82%,3%,7%,68%,23%,0%,0%,45%,55%,0%
"Kano,Pyramid 103.5 FM, Kano",FRCN 7-8am,1086198,70%,30%,7%,32%,48%,12%,2%,4%,65%,29%,2%
"Sokoto,Caliphate Radio 91.9 FM, Sokoto",FRCN 7-8am,1470030,53%,47%,7%,33%,49%,10%,1%,16%,41%,33%,10%
"Zamfara,Pride 102.5 FM Gusau",FRCN 7-8am,5078,0%,100%,0%,0%,100%,0%,0%,0%,100%,0%,0%
"Abuja,Aso Radio 93.5 FM, Abuja",FRCN 7-8am,572740,53%,47%,5%,31%,48%,15%,1%,10%,57%,27%,6%
"Abuja,Radio Nigeria 1 (SW), Abuja",FRCN 7-8am,220043,49%,51%,1%,29%,53%,16%,1%,7%,55%,29%,9%
"Abuja,Radio Nigeria 2 (MW), Abuja",FRCN 7-8am,116585,55%,45%,6%,33%,48%,13%,0%,9%,52%,29%,10%
"Abuja,Kapital 92.9 FM, Abuja",FRCN 7-8am,769691,53%,47%,5%,33%,47%,16%,0%,9%,56%,28%,7%
"Kwara,Midland 99.0 FM, Ilorin",FRCN 7-8am,1298409,53%,47%,4%,27%,47%,18%,4%,8%,40%,43%,9%
"Niger,Prestige 91.7 FM, Minna",FRCN 7-8am,1321439,49%,51%,4%,23%,52%,20%,2%,13%,52%,28%,7%
"Plateau,Highland 101.5 FM, Jos",FRCN 7-8am,918753,49%,51%,6%,48%,39%,7%,0%,15%,37%,39%,9%
"Bauchi,Globe FM 98.5 MHz",FRCN 7-8am,808838,62%,38%,7%,37%,42%,12%,2%,7%,53%,33%,7%
"Borno,Peace 102.5 FM, Maiduguri (FRCN)",FRCN 7-8am,2179778,56%,44%,5%,32%,48%,14%,1%,9%,45%,36%,10%
"Gombe,Vision 92.7 FM, Gombe",FRCN 7-8am,20081,25%,75%,15%,60%,13%,13%,0%,0%,75%,25%,0%
"Ekiti,Progress 100.5 FM, Ado-Ekiti",FRCN 7-8am,1213280,49%,51%,5%,34%,43%,16%,2%,9%,40%,42%,9%
"Ondo,Positive 102.5 FM, Akure",FRCN 7-8am,239054,54%,46%,7%,43%,32%,15%,3%,4%,35%,49%,12%
"Oyo,Premier 93.5 FM, Ibadan",FRCN 7-8am,1075205,46%,54%,7%,30%,38%,23%,2%,6%,41%,47%,6%
"Oyo,Diamond 101.1 FM, Ibadan",FRCN 7-8am,695043,49%,51%,7%,34%,37%,20%,2%,8%,34%,49%,9%
"Oyo,Amuludun 99.1 FM, Ibadan",FRCN 7-8am,2050570,46%,54%,8%,31%,38%,22%,2%,8%,37%,47%,8%
"Ogun,Paramount 94.5 FM, Abeokuta",FRCN 7-8am,147324,61%,39%,4%,35%,41%,21%,0%,10%,70%,20%,0%
"Lagos,Choice 103.5 FM, Lagos",FRCN 7-8am,553362,46%,54%,6%,34%,44%,16%,1%,4%,56%,36%,4%
"Lagos,Metro 97.7 FM, Lagos",FRCN 7-8am,578515,40%,60%,7%,44%,36%,13%,1%,9%,45%,39%,7%
"Lagos,Bond 92.9 FM, Lagos",FRCN 7-8am,2784778,44%,56%,5%,36%,38%,20%,1%,5%,51%,39%,5%
"Edo,Bronze 101.5 FM, Aduwawa, Benin",FRCN 7-8am,1520471,52%,48%,10%,31%,40%,16%,3%,6%,53%,34%,7%
"Akwa Ibom,Atlantic 104.5 FM Uyo",FRCN 7-8am,958266,51%,49%,7%,31%,41%,16%,5%,10%,37%,39%,14%
"Rivers,Treasure 98.5 FM, P/H",FRCN 7-8am,1031073,51%,49%,8%,36%,31%,21%,4%,9%,38%,46%,7%
"Abia,Pacesetter 103.5 FM, Umuahia",FRCN 7-8am,155579,49%,51%,8%,34%,42%,16%,0%,8%,36%,47%,9%
"Anambra,Purity 102.5 FM, Awka",FRCN 7-8am,817954,44%,56%,4%,38%,43%,12%,3%,11%,40%,40%,9%
"Enugu,Radio Nigeria (SW), Enugu",FRCN 7-8am,775393,45%,55%,4%,30%,55%,12%,0%,4%,60%,32%,4%
"Enugu,Coal City 92.9 FM, Enugu",FRCN 7-8am,807268,48%,52%,6%,34%,44%,14%,2%,6%,44%,39%,11%
"Ebonyi,Unity 101.5 FM, Abakiliki",FRCN 7-8am,257799,46%,54%,10%,35%,38%,14%,4%,8%,35%,39%,18%
"Imo,Heartland 100.5 FM, Owerri",FRCN 7-8am,101931,46%,54%,15%,35%,34%,14%,2%,11%,41%,37%,11%
07h00-07h15,FRCN 7-8am,48812180,52%,48%,6%,33%,43%,17%,2%,8%,47%,38%,7%
07h15-07h30,FRCN 7-8am,48883548,52%,48%,6%,33%,43%,17%,2%,8%,47%,38%,7%
07h30-07h45,FRCN 7-8am,46574469,51%,49%,6%,33%,43%,17%,2%,8%,47%,38%,7%
07h45-08h00,FRCN 7-8am,46098312,52%,48%,6%,33%,43%,17%,2%,8%,47%,37%,8%
"Abuja,Wazobia 99.5 FM, Abuja",Wazobia - Abuja (Una Wake Up Show),1176497,52%,48%,6%,36%,45%,14%,0%,9%,51%,33%,7%
05h00-05h15,Wazobia - Abuja (Una Wake Up Show),6536480,51%,49%,7%,34%,40%,17%,2%,9%,46%,37%,8%
05h15-05h30,Wazobia - Abuja (Una Wake Up Show),6404731,50%,50%,7%,34%,40%,18%,2%,9%,45%,39%,7%
05h30-05h45,Wazobia - Abuja (Una Wake Up Show),7944776,50%,50%,7%,35%,40%,17%,2%,10%,43%,39%,8%
05h45-06h00,Wazobia - Abuja (Una Wake Up Show),9570679,50%,50%,7%,36%,39%,17%,2%,10%,45%,37%,8%
06h00-06h15,Wazobia - Abuja (Una Wake Up Show),28064820,51%,49%,6%,33%,43%,17%,2%,9%,46%,37%,8%
06h15-06h30,Wazobia - Abuja (Una Wake Up Show),29298883,51%,49%,6%,33%,42%,17%,2%,9%,46%,38%,7%
06h30-06h45,Wazobia - Abuja (Una Wake Up Show),30752426,50%,50%,6%,34%,41%,17%,2%,9%,47%,37%,7%
06h45-07h00,Wazobia - Abuja (Una Wake Up Show),34115431,51%,49%,6%,33%,42%,17%,2%,8%,48%,37%,7%
07h00-07h15,Wazobia - Abuja (Una Wake Up Show),48812180,52%,48%,6%,33%,43%,17%,2%,8%,47%,38%,7%
07h15-07h30,Wazobia - Abuja (Una Wake Up Show),48883548,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
07h30-07h45,Wazobia - Abuja (Una Wake Up Show),46574469,51%,49%,6%,33%,43%,17%,2%,8%,48%,37%,7%
07h45-08h00,Wazobia - Abuja (Una Wake Up Show),46098312,52%,48%,6%,33%,43%,17%,2%,8%,47%,37%,8%
08h00-08h15,Wazobia - Abuja (Una Wake Up Show),49229050,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
08h15-08h30,Wazobia - Abuja (Una Wake Up Show),49396390,52%,48%,6%,33%,42%,17%,2%,8%,48%,37%,7%
08h30-08h45,Wazobia - Abuja (Una Wake Up Show),47479632,51%,49%,6%,33%,42%,17%,2%,8%,48%,37%,7%
08h45-09h00,Wazobia - Abuja (Una Wake Up Show),46601136,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
09h00-09h15,Wazobia - Abuja (Una Wake Up Show),46475739,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
09h15-09h30,Wazobia - Abuja (Una Wake Up Show),46527939,52%,48%,6%,32%,43%,17%,2%,8%,48%,37%,7%
09h30-09h45,Wazobia - Abuja (Una Wake Up Show),46215251,52%,48%,6%,32%,43%,17%,2%,8%,49%,36%,7%
09h45-10h00,Wazobia - Abuja (Una Wake Up Show),45305410,52%,48%,6%,32%,43%,17%,2%,8%,49%,36%,7%
"Kano,Wazobia 95.1 FM, Kano",Wazobia - Kano (Una Wake Up Show),4737214,63%,37%,5%,32%,49%,13%,1%,6%,55%,32%,7%
05h00-05h15,Wazobia - Kano (Una Wake Up Show),6536480,51%,49%,7%,34%,40%,17%,2%,9%,46%,37%,8%
05h15-05h30,Wazobia - Kano (Una Wake Up Show),6404731,50%,50%,7%,34%,40%,18%,2%,9%,45%,39%,7%
05h30-05h45,Wazobia - Kano (Una Wake Up Show),7944776,50%,50%,7%,35%,40%,17%,2%,10%,43%,39%,8%
05h45-06h00,Wazobia - Kano (Una Wake Up Show),9570679,50%,50%,7%,36%,39%,17%,2%,10%,45%,37%,8%
06h00-06h15,Wazobia - Kano (Una Wake Up Show),28064820,51%,49%,6%,33%,43%,17%,2%,9%,46%,37%,8%
06h15-06h30,Wazobia - Kano (Una Wake Up Show),29298883,51%,49%,6%,33%,42%,17%,2%,9%,46%,38%,7%
06h30-06h45,Wazobia - Kano (Una Wake Up Show),30752426,50%,50%,6%,34%,41%,17%,2%,9%,47%,37%,7%
06h45-07h00,Wazobia - Kano (Una Wake Up Show),34115431,51%,49%,6%,33%,42%,17%,2%,8%,48%,37%,7%
07h00-07h15,Wazobia - Kano (Una Wake Up Show),48812180,52%,48%,6%,33%,43%,17%,2%,8%,47%,38%,7%
07h15-07h30,Wazobia - Kano (Una Wake Up Show),48883548,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
07h30-07h45,Wazobia - Kano (Una Wake Up Show),46574469,51%,49%,6%,33%,43%,17%,2%,8%,48%,37%,7%
07h45-08h00,Wazobia - Kano (Una Wake Up Show),46098312,52%,48%,6%,33%,43%,17%,2%,8%,47%,37%,8%
08h00-08h15,Wazobia - Kano (Una Wake Up Show),49229050,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
08h15-08h30,Wazobia - Kano (Una Wake Up Show),49396390,52%,48%,6%,33%,42%,17%,2%,8%,48%,37%,7%
08h30-08h45,Wazobia - Kano (Una Wake Up Show),47479632,51%,49%,6%,33%,42%,17%,2%,8%,48%,37%,7%
08h45-09h00,Wazobia - Kano (Una Wake Up Show),46601136,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
09h00-09h15,Wazobia - Kano (Una Wake Up Show),46475739,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
09h15-09h30,Wazobia - Kano (Una Wake Up Show),46527939,52%,48%,6%,32%,43%,17%,2%,8%,48%,37%,7%
09h30-09h45,Wazobia - Kano (Una Wake Up Show),46215251,52%,48%,6%,32%,43%,17%,2%,8%,49%,36%,7%
09h45-10h00,Wazobia - Kano (Una Wake Up Show),45305410,52%,48%,6%,32%,43%,17%,2%,8%,49%,36%,7%
"Lagos,Wazobia 95.1 FM, Lagos",Wazobia - Lagos (Una Wake Up Show),2407486,46%,54%,4%,35%,41%,19%,1%,9%,46%,40%,5%
04h00-04h15,Wazobia - Lagos (Una Wake Up Show),2578292,47%,53%,7%,38%,37%,16%,2%,7%,41%,39%,13%
04h15-04h30,Wazobia - Lagos (Una Wake Up Show),2574919,48%,52%,7%,40%,36%,15%,2%,5%,41%,40%,14%
04h30-04h45,Wazobia - Lagos (Una Wake Up Show),2998821,51%,49%,7%,36%,38%,16%,3%,6%,45%,37%,12%
04h45-05h00,Wazobia - Lagos (Una Wake Up Show),3666647,49%,51%,8%,36%,38%,17%,2%,7%,44%,38%,11%
05h00-05h15,Wazobia - Lagos (Una Wake Up Show),6536480,51%,49%,7%,34%,40%,17%,2%,9%,46%,37%,8%
05h15-05h30,Wazobia - Lagos (Una Wake Up Show),6404731,50%,50%,7%,34%,40%,18%,2%,9%,45%,39%,7%
05h30-05h45,Wazobia - Lagos (Una Wake Up Show),7944776,50%,50%,7%,35%,40%,17%,2%,10%,43%,39%,8%
05h45-06h00,Wazobia - Lagos (Una Wake Up Show),9570679,50%,50%,7%,36%,39%,17%,2%,10%,45%,37%,8%
06h00-06h15,Wazobia - Lagos (Una Wake Up Show),28064820,51%,49%,6%,33%,42%,17%,2%,9%,46%,37%,8%
06h15-06h30,Wazobia - Lagos (Una Wake Up Show),29298883,51%,49%,6%,33%,42%,17%,2%,9%,46%,38%,7%
06h30-06h45,Wazobia - Lagos (Una Wake Up Show),30752426,50%,50%,6%,33%,42%,17%,2%,9%,47%,37%,7%
06h45-07h00,Wazobia - Lagos (Una Wake Up Show),34115431,51%,49%,6%,33%,42%,17%,2%,8%,48%,37%,7%
07h00-07h15,Wazobia - Lagos (Una Wake Up Show),48812180,52%,48%,6%,33%,42%,17%,2%,8%,47%,38%,7%
07h15-07h30,Wazobia - Lagos (Una Wake Up Show),48883548,52%,48%,6%,33%,42%,17%,2%,8%,48%,37%,7%
07h30-07h45,Wazobia - Lagos (Una Wake Up Show),46574469,51%,49%,6%,33%,42%,17%,2%,8%,48%,37%,7%
07h45-08h00,Wazobia - Lagos (Una Wake Up Show),46098312,52%,48%,6%,33%,42%,17%,2%,8%,47%,37%,8%
08h00-08h15,Wazobia - Lagos (Una Wake Up Show),49229050,52%,48%,6%,33%,42%,17%,2%,8%,48%,37%,7%
08h15-08h30,Wazobia - Lagos (Una Wake Up Show),49396390,52%,48%,6%,33%,42%,17%,2%,8%,48%,37%,7%
08h30-08h45,Wazobia - Lagos (Una Wake Up Show),47479632,51%,49%,6%,33%,42%,17%,2%,8%,48%,37%,7%
08h45-09h00,Wazobia - Lagos (Una Wake Up Show),46601136,52%,48%,6%,33%,42%,17%,2%,8%,48%,37%,7%
"Rivers,Wazobia 94.1 FM, P/H",Wazobia - PH (Una Wake Up Show),2380383,48%,52%,9%,37%,32%,20%,2%,8%,42%,44%,6%
05h00-05h15,Wazobia - PH (Una Wake Up Show),6536480,51%,49%,7%,34%,40%,18%,2%,9%,46%,37%,8%
05h15-05h30,Wazobia - PH (Una Wake Up Show),6404731,50%,50%,7%,34%,40%,18%,2%,9%,45%,39%,7%
05h30-05h45,Wazobia - PH (Una Wake Up Show),7944776,50%,50%,7%,35%,40%,17%,2%,10%,43%,39%,8%
05h45-06h00,Wazobia - PH (Una Wake Up Show),9570679,50%,50%,7%,36%,39%,17%,2%,10%,45%,37%,8%
06h00-06h15,Wazobia - PH (Una Wake Up Show),28064820,51%,49%,6%,33%,43%,17%,2%,9%,46%,37%,8%
06h15-06h30,Wazobia - PH (Una Wake Up Show),29298883,51%,49%,6%,33%,42%,17%,2%,9%,46%,38%,7%
06h30-06h45,Wazobia - PH (Una Wake Up Show),30752426,50%,50%,6%,34%,41%,17%,2%,9%,47%,37%,7%
06h45-07h00,Wazobia - PH (Una Wake Up Show),34115431,51%,49%,6%,33%,42%,17%,2%,8%,48%,37%,7%
07h00-07h15,Wazobia - PH (Una Wake Up Show),48812180,52%,48%,6%,33%,43%,17%,2%,8%,47%,38%,7%
07h15-07h30,Wazobia - PH (Una Wake Up Show),48883548,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
07h30-07h45,Wazobia - PH (Una Wake Up Show),46574469,51%,49%,6%,33%,43%,17%,2%,8%,48%,37%,7%
07h45-08h00,Wazobia - PH (Una Wake Up Show),46098312,52%,48%,6%,33%,43%,17%,2%,8%,47%,37%,8%
08h00-08h15,Wazobia - PH (Una Wake Up Show),49229050,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
08h15-08h30,Wazobia - PH (Una Wake Up Show),49396390,52%,48%,6%,33%,42%,17%,2%,8%,48%,37%,7%
08h30-08h45,Wazobia - PH (Una Wake Up Show),47479632,51%,49%,6%,33%,42%,17%,2%,8%,48%,37%,7%
08h45-09h00,Wazobia - PH (Una Wake Up Show),46601136,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
09h00-09h15,Wazobia - PH (Una Wake Up Show),46475739,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
09h15-09h30,Wazobia - PH (Una Wake Up Show),46527939,52%,48%,6%,32%,43%,17%,2%,8%,48%,37%,7%
09h30-09h45,Wazobia - PH (Una Wake Up Show),46215251,52%,48%,6%,32%,43%,17%,2%,8%,49%,36%,7%
09h45-10h00,Wazobia - PH (Una Wake Up Show),45305410,52%,48%,6%,32%,43%,17%,2%,8%,49%,36%,7%
"Kano,Freedom Radio 99.5 FM, Kano",Freedom - Kano (In da Ranka),5888703,61%,39%,5%,32%,47%,14%,2%,7%,52%,34%,7%
05h00-05h15,Freedom - Kano (In da Ranka),6536480,51%,49%,7%,34%,40%,17%,2%,9%,46%,37%,8%
05h15-05h30,Freedom - Kano (In da Ranka),6404731,50%,50%,7%,34%,40%,18%,2%,9%,45%,39%,7%
05h30-05h45,Freedom - Kano (In da Ranka),7944776,50%,50%,7%,35%,40%,17%,2%,10%,43%,39%,8%
05h45-06h00,Freedom - Kano (In da Ranka),9570679,50%,50%,7%,36%,39%,17%,2%,10%,45%,37%,8%
06h00-06h15,Freedom - Kano (In da Ranka),28064820,51%,49%,6%,33%,43%,17%,2%,9%,46%,37%,8%
06h15-06h30,Freedom - Kano (In da Ranka),29298883,51%,49%,6%,33%,42%,17%,2%,9%,46%,38%,7%
06h30-06h45,Freedom - Kano (In da Ranka),30752426,50%,50%,6%,34%,41%,17%,2%,9%,47%,37%,7%
06h45-07h00,Freedom - Kano (In da Ranka),34115431,51%,49%,6%,33%,42%,17%,2%,8%,48%,37%,7%
07h00-07h15,Freedom - Kano (In da Ranka),48812180,52%,48%,6%,33%,43%,17%,2%,8%,47%,38%,7%
07h15-07h30,Freedom - Kano (In da Ranka),48883548,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
07h30-07h45,Freedom - Kano (In da Ranka),46574469,51%,49%,6%,33%,43%,17%,2%,8%,48%,37%,7%
07h45-08h00,Freedom - Kano (In da Ranka),46098312,52%,48%,6%,33%,43%,17%,2%,8%,47%,37%,8%
08h00-08h15,Freedom - Kano (In da Ranka),49229050,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
08h15-08h30,Freedom - Kano (In da Ranka),49396390,52%,48%,6%,33%,42%,17%,2%,8%,48%,37%,7%
08h30-08h45,Freedom - Kano (In da Ranka),47479632,51%,49%,6%,33%,42%,17%,2%,8%,48%,37%,7%
08h45-09h00,Freedom - Kano (In da Ranka),46601136,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
09h00-09h15,Freedom - Kano (In da Ranka),46475739,52%,48%,6%,33%,43%,17%,2%,8%,48%,37%,7%
09h15-09h30,Freedom - Kano (In da Ranka),46527939,52%,48%,6%,32%,43%,17%,2%,8%,48%,37%,7%
09h30-09h45,Freedom - Kano (In da Ranka),46215251,52%,48%,6%,32%,43%,17%,2%,8%,49%,36%,7%
09h45-10h00,Freedom - Kano (In da Ranka),45305410,52%,48%,6%,32%,43%,17%,2%,8%,49%,36%,7%
